lat,lon
24.128,120.69
24.143,120.613
24.25,120.538
22.561999999999998,120.333
22.982,120.245
22.605999999999998,120.306
22.976,120.20200000000001
34.891999999999996,128.69
24.16,120.67299999999999
23.046,120.445
24.679000000000002,121.68799999999999
24.151999999999997,120.637
24.139,120.664
25.061999999999998,121.45100000000001
22.674,120.288
24.085,120.55799999999999
22.976,120.544
25.061999999999998,121.45100000000001
25.04,121.61399999999999
24.252,120.73899999999999
23.078000000000003,120.296
22.669,120.3
24.311999999999998,120.561
22.581999999999997,120.316
24.113000000000003,120.62200000000001
23.023000000000003,120.229
22.791999999999998,120.303
24.188000000000002,120.595
22.561,120.335
22.631999999999998,120.334
24.123,120.631
24.131,120.684
24.198,120.501
24.288,120.723
35.097,128.817
24.596,121.835
25.061999999999998,121.45100000000001
23.368000000000002,120.412
25.061999999999998,121.45100000000001
22.728,120.277
24.154,120.65
24.146,120.639
25.015,121.431
23.241,120.175
24.191,120.686
24.276,120.773
24.134,120.60799999999999
35.211,128.692
23.063000000000002,120.17299999999999
23.064,120.197
24.475,54.317
24.166999999999998,120.709
22.791999999999998,120.28200000000001
24.086,120.70200000000001
35.449,129.075
24.254,120.72
24.155,120.65299999999999
24.164,120.865
23.008000000000003,120.236
25.078000000000003,121.59700000000001
24.193,120.81200000000001
24.239,120.554
35.625,129.33100000000002
24.145,120.693
24.346,120.704
23.044,120.47
23.025,120.34899999999999
22.930999999999997,121.139
24.145,120.725
22.628,120.375
34.821,128.608
22.846999999999998,120.465
22.853,120.546
22.587,120.287
24.134,120.556
35.247,128.755
24.154,120.648
22.712,120.29700000000001
22.594,120.336
22.886999999999997,120.244
23.191999999999997,120.314
24.057,120.699
23.0,120.238
35.157,128.686
22.958000000000002,120.334
35.083,128.092
23.319000000000003,120.345
22.642,120.368
24.142,120.639
22.608,120.311
24.122,120.62799999999999
23.474,120.44
23.128,120.719
22.709,120.302
23.049,120.555
23.15,120.15299999999999
24.213,120.55
25.061999999999998,121.45100000000001
24.156999999999996,120.714
23.068,120.34899999999999
23.0,120.208
24.179000000000002,120.64
22.954,120.244
22.984,120.20100000000001
